Cu Zn;ЛК;ГОСТ 1267-77 1271-77;;;;;;;;
;Al;Zn;Mn;Si;Sb;Pb;Bi;Fe;Sn;Cu
171;0.32;17.5;0.277;1.31;0.017;0.047;~0.0012;~0.90;0.12;79.5
172;0.185;15.1;0.270;2.14;0.025;0.094;0.0020;0.73;0.168;81.2
173;~0.04;13.9;0.34;2.70;0.035;0.20;0.0028;0.83;0.30;81.6
174;0.094;10.6;0.435;4.65;0.063;0.28;0.0047;0.60;0.42;82.7
175;0.170;11.1;0.66;4.2;0.049;~0.12;0.0033;1.01;0.28;82.3
;;;;;;;;;;
171;0.01;0.2;0.007;0.03;0.002;0.004;;;0.02;0.1
172;0.008;0.1;0.006;0.05;0.002;0.005;0.0003;0.02;0.005;0.2
173;;0.2;0.01;0.05;0.002;0.02;0.0002;0.02;0.02;0.3
174;0.003;0.2;0.007;0.06;0.004;0.03;0.0003;0.02;0.03;0.3
175;0.004;0.1;0.01;0.1;0.003;;0.0004;0.03;0.01;0.1
