;;;;;
;"Al";"Si";"Bi";"S";"Mn"
"4-16";"0.099";"0.130";"0.003";"0.050";"~0.0024"
"4-18";"0.097";"0.131";"0.004";"0.051";"~0.0022"
"4-19";"0.097";"0.130";"0.003";"0.052";"~0.0027"
"4-20";"0.098";"0.130";"0.003";"0.053";"~0.0023"
"4-21";"0.098";"0.130";"0.003";"0.052";"~0.0023"
"4-22";"0.097";"0.132";"0.004";"0.051";"~0.0023"
"4-24";"0.096";"0.130";"0.003";"0.053";"~0.0025"
"4-25";"0.096";"0.128";"0.003";"0.051";"~0.0018"
"4-26";"0.093";"0.128";"0.003";"0.053";"~0.0018"
"4-28";"0.095";"0.128";"0.004";"0.051";"~0.0016"
;;;;;
"4-16";"0.006";"0.007";"0.001";"0.006";
"4-18";"0.006";"0.007";"0.001";"0.006";
"4-19";"0.006";"0.007";"0.001";"0.006";
"4-20";"0.006";"0.007";"0.001";"0.006";
"4-21";"0.006";"0.007";"0.001";"0.006";
"4-22";"0.006";"0.007";"0.001";"0.006";
"4-24";"0.006";"0.007";"0.001";"0.006";
"4-25";"0.006";"0.007";"0.001";"0.006";
"4-26";"0.006";"0.007";"0.001";"0.006";
"4-28";"0.006";"0.007";"0.001";"0.006";
